卫视频道,#genre#
东方卫视,http://119.233.255.62:1234/651632648
江苏卫视,http://119.233.255.62:1234/623899368
广东卫视,http://119.233.255.62:1234/608831231
北京卫视,http://119.233.255.62:1234/630287636
辽宁卫视,http://119.233.255.62:1234/630291707
河北卫视,http://119.233.255.62:1234/962042070
江西卫视,http://119.233.255.62:1234/783847495
河南卫视,http://119.233.255.62:1234/790187291
陕西卫视,http://119.233.255.62:1234/738910838
大湾区卫视,http://119.233.255.62:1234/608917627
湖北卫视,http://119.233.255.62:1234/947472496
海峡卫视,http://119.233.255.62:1234/849119120
农林卫视,http://119.233.255.62:1234/956904896
兵团卫视,http://119.233.255.62:1234/956923145
黑龙江卫视,http://119.233.255.62:1234/738906901
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
卫视台,#genre#
云南卫视,https://hwapi.yntv.net/62hdvf/utrat7.m3u8
北京卫视4K,http://8.138.7.223/tv/btime.php?id=bjws4k
东方卫视4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
湖南卫视4K,http://8.138.7.223/tv/api.php?id=hnws4k
江苏卫视4K,http://8.138.7.223/tv/jsws4k.php
深圳卫视4K,http://nn.7x9d.cn/深圳最新.php?id=szws4k
河北卫视,http://event.pull.hebtv.com/jishi/weishi_tingyun.m3u8
东方卫视,http://t.061899.xyz/tl/tl.php?id=dfws
重庆卫视,http://t.061899.xyz/tl/tl.php?id=cqws
吉林卫视,http://t.061899.xyz/tl/tl.php?id=jlws
辽宁卫视,http://t.061899.xyz/tl/tl.php?id=lnws
内蒙古卫视,http://t.061899.xyz/tl/tl.php?id=nmws
宁夏卫视,http://t.061899.xyz/tl/tl.php?id=nxws
甘肃卫视,http://t.061899.xyz/tl/tl.php?id=gsws
青海卫视,http://t.061899.xyz/tl/tl.php?id=qhws
陕西卫视,http://t.061899.xyz/tl/tl.php?id=sxws
山东卫视,http://t.061899.xyz/tl/tl.php?id=sdws
河南卫视,http://t.061899.xyz/tl/tl.php?id=hnws
湖北卫视,http://t.061899.xyz/tl/tl.php?id=hubws
湖南卫视,http://t.061899.xyz/tl/tl.php?id=hunws
江西卫视,http://t.061899.xyz/tl/tl.php?id=jxws
江苏卫视,http://t.061899.xyz/tl/tl.php?id=jsws
东南卫视,http://t.061899.xyz/tl/tl.php?id=dnws
海峡卫视,http://t.061899.xyz/tl/tl.php?id=hxws
广东卫视,http://t.061899.xyz/tl/tl.php?id=gdws
大湾区卫视,http://t.061899.xyz/tl/tl.php?id=dwqws
广西卫视,http://t.061899.xyz/tl/tl.php?id=gxws
云南卫视,http://t.061899.xyz/tl/tl.php?id=ynws
贵州卫视,http://t.061899.xyz/tl/tl.php?id=gzws
新疆卫视,http://t.061899.xyz/tl/tl.php?id=xjws
西藏卫视,http://t.061899.xyz/tl/tl.php?id=xzws
海南卫视,http://t.061899.xyz/tl/tl.php?id=hinws
东方卫视,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8
河北卫视,http://120.76.248.139/live/bfgd/4200000108.m3u8
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
厦门卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.2.11:8060
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
海峡卫视,http://8.138.7.223/tv/hxws.m3u8
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
海峡卫视,http://8.138.7.223/tv/hxws.m3u8
海峡卫视,http://r.jdshipin.com/WtYt3
澳门卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=as
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
凤凰卫视台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
东南卫视,http://8.138.7.223/tv/fjtv1.php?id=dnws
海峡卫视,http://8.138.7.223/tv/hxws.m3u8
厦门卫视,http://8.138.7.223/tv/fjtv1.php?id=xmws
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
莲花卫视,http://php.jdshipin.com:8880/amlh.php
北京卫视,http://115.171.216.32:4000/rtp/225.1.8.21:8002
北京卫视4K超高清,http://115.171.216.32:4000/udp/225.1.8.120:8002
北京卫视4K超高清,http://115.171.216.32:4000/rtp/225.1.8.128:8002
湖南卫视,http://115.171.216.32:4000/udp/225.1.8.41:8012
深圳卫视,http://115.171.216.32:4000/udp/225.1.8.43:8020
江苏卫视,http://115.171.216.32:4000/udp/225.1.8.44:8028
东方卫视,http://115.171.216.32:4000/udp/225.1.8.45:8032
浙江卫视,http://115.171.216.32:4000/udp/225.1.8.46:8036
