港澳台频道,#genre#
TVB无线星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
TVB翡翠台 1080P,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
华丽翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=Tvbjade
☘️浙江频道,#genre#
杭州明珠,https://stream1.freetv.fun/hang-zhou-ming-zhu-2.ctv
千禧经典,http://cdn9.163189.xyz/smt3.1.1.php?id=Tvbclassic
环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
美亚C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
纬来精采,http://61.221.215.25:8800/hls/48/index.m3u8
大立电视台,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
TVBS新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
杭州明珠,https://stream1.freetv.fun/hang-zhou-ming-zhu-1.ctv
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华洋片,https://cdn8.163189.xyz/live/lhyp/stream.m3u8
杭州生活,https://stream1.freetv.fun/hang-zhou-sheng-huo-1.ctv
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
杭州生活,https://stream1.freetv.fun/hang-zhou-sheng-huo-2.ctv
HOY78,http://cdn.163189.xyz/live/hoy/stream.m3u8
ASTRO AOD,http://cdn9.163189.xyz/smt1.1.php?id=Aodhd
ELEVEN体育1,https://stream1.freetv.fun/eltaai-er-da-ti-yu--1--wj-1.ctv
ELEVEN体育2,https://stream1.freetv.fun/eltaai-er-da-ti-yu--2--wj-1.ctv
ELEVEN体育3,https://stream1.freetv.fun/eltaai-er-da-ti-yu--3--wj-1.ctv
韩国电影1,https://stream.ads.ottera.tv/playlist.m3u8?network_id=595
杭州生活,https://stream1.freetv.fun/hang-zhou-sheng-huo-3.ctv
韩国电影2,https://stream.ads.ottera.tv/playlist.m3u8?network_id=743
凤凰卫视台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港台,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
翡翠台4K,http://cdn6.163189.xyz/163189/fct4k
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
杭州影视,https://stream1.freetv.fun/hang-zhou-ying-shi-2.ctv
翡翠台北美版,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
浙江国际,https://stream1.freetv.fun/zhe-jiang-guo-ji-7.m3u8
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
RTHK31,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk32
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
